Category,Message
ham,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
ham,I cant wait to see you! How were the photos were useful? :)
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging
ham,Chk in ur belovd ms dict
ham,Is that what time you want me to come?
ham,"Awesome, lemme know whenever you're around"
ham,Shb b ok lor... Thanx...
ham,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT"
ham,Also remember to get dobby's bowl from your car
spam,Filthy stories and GIRLS waiting for your
ham,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
ham,Welp apparently he retired
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham,Where @
ham,U sure u can't take any sick time?
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
ham,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
ham,Are you this much buzy
ham,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.
ham,I am not sure about night menu. . . I know only about noon menu
ham,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.
ham,Are you willing to go for aptitude class.
ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?"
ham,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?"
ham,"Haha awesome, omw back now then"
ham,Yup i thk so until e shop closes lor.
ham,what is your account number?
ham,Eh u send wrongly lar...
ham,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya
ham,Ok i shall talk to him
ham,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing
ham,Hey you can pay. With salary de. Only  &lt;#&gt; .
ham,Another month. I need chocolate weed and alcohol.
ham,If he started searching he will get job in few days.he have great potential and talent.
ham,Reckon need to be in town by eightish to walk from * carpark.
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl."
ham,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP
ham,Yo guess what I just dropped
ham,Carlos says he'll be at mu in  &lt;#&gt;  minutes
ham,I'm in office now . I will call you  &lt;#&gt;  min:)
ham,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*"
ham,"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn"
ham,Ugh. Gotta drive back to sd from la. My butt is sore.
ham,26th OF JULY
ham,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.
ham,Up to ü... Ü wan come then come lor... But i din c any stripes skirt...
ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
ham,"I can't, I don't have her number!"
ham,Change again... It's e one next to escalator...
ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
ham,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been?
ham,Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.
ham,"Aight will do, thanks again for comin out"
ham,No..but heard abt tat..
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
ham,&lt;#&gt;  am I think? Should say on syllabus
ham,Umma. Did she say anything
ham,Give me a sec to think think about it
spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout
ham,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?
ham,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; ."
ham,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala"
ham,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am
ham,"I just got home babe, are you still awake ?"
ham,I dunno they close oredi not... Ü v ma fan...
ham,Just buy a pizza. Meat lovers or supreme. U get to pick.
ham,"Ya, told..she was asking wats matter?"
ham,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!"
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
ham,Shall i send that exe to your mail id.
ham,Nope watching tv at home... Not going out. V bored...
ham,Don know..wait i will check it.
ham,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen"
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18
ham,We still on for tonight?
ham,May i call You later Pls
ham,Hasn't that been the pattern recently crap weekends?
ham,I have a sore throat. It's scratches when I talk
ham,Yes da. Any plm at ur office
ham,Are you not around or just still asleep? :V
ham,"Lol you forgot it eh ? Yes, I'll bring it in babe"
ham,"Its good, we'll find a way"
ham,Can not use foreign stamps in this country. Good lecture .
ham,Yup bathe liao...
ham,HAPPY NEW YEAR MY NO.1 MAN
ham,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!"
ham,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG
ham,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*"
ham,"No my blankets are sufficient, thx"
ham,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
ham,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)"
ham,They just talking thats it de. They wont any other.
ham,Today am going to college so am not able to atten the class.
ham,I'm in class. Will holla later
ham,Easy ah?sen got selected means its good..
ham,Mmm thats better now i got a roast down me! id b better if i had a few drinks down me 2! Good indian?
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p"
ham,"Come round, it's ."
ham,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here.."""
spam,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!"
ham,I walked an hour 2 c u! doesnt that show I care y wont u believe im serious?
spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
ham,Are you available for soiree on June 3rd?
ham,Do u noe wat time e place dat sells 4d closes?
ham,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished"
ham,Jay's getting really impatient and belligerent
ham,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.
ham,I'm at work. Please call
ham,Then u drive lor.
ham,Ard 515 like dat. Y?
ham,Tell me they're female :V how're you throwing in? We're deciding what all to get now
spam,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+
ham,I'm working technical support :)voice process.networking field.
ham,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.
ham,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.
spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150
ham,"That's fine, I'll bitch at you about it later then"
ham,No my mum went 2 dentist.
ham,Once free call me sir. I am waiting for you.
ham,Meeting u is my work. . . Tel me when shall i do my work tomorrow
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
ham,Jus finish bathing...
ham,"alright, I'll make sure the car is back tonight"
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688
ham,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.
ham,Aight ill get on fb in a couple minutes
ham,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.
ham,Where can download clear movies. Dvd copies.
ham,"Yep, by the pretty sculpture"
ham,Convey my regards to him
ham,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
ham,You tell what happen dont behave like this to me. Ok no need to say
ham,Can u get pic msgs to your phone?
ham,Send to someone else :-)
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
ham,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..
ham,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)"
ham,I don't think he has spatula hands!
ham,You can never do NOTHING
spam,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99
ham,Goodmorning today i am late for  &lt;DECIMAL&gt; min.
spam,WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm
ham,Please da call me any mistake from my side sorry da. Pls da goto doctor.
ham,Where r we meeting?
ham,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
ham,Now only i reached home. . . I am very tired now. . I will come tomorro
ham,Ryder unsold.now gibbs.
spam,Dear Subscriber ur draw 4 £100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062
ham,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.
ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
ham,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.
ham,You busy or can I come by at some point and figure out what we're doing tomorrow
ham,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary"
ham,Black shirt n blue jeans... I thk i c ü...
ham,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.
spam,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
ham,on hen night. Going with a swing
ham,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*"
ham,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke
ham,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-)
ham,S s..first time..dhoni rocks...
ham,Ok ill tell the company
ham,"Awesome, think we can get an 8th at usf some time tonight?"
ham,So that means you still think of teju
ham,"No I'm good for the movie, is it ok if I leave in an hourish?"
ham,No no:)this is kallis home ground.amla home town is durban:)
ham,So lets make it saturday or monday as per convenience.
ham,Hey... What time is your driving on fri? We go for evaluation on fri?
spam,"449050000301 You have won a £2,000 price! To claim, call 09050000301."
ham,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.
spam,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16"
ham,Cancel cheyyamo?and get some money back?
spam,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
ham,Ok.ok ok..then..whats ur todays plan
ham,Good morning princess! How are you?
ham,Aiyar sorry lor forgot 2 tell u...
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
ham,Not tonight mate. Catching up on some sleep. This is my new number by the way.
ham,"Height of ""Oh shit....!!"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay,.;-):-D"
spam,Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg
ham,"So check your errors and if you had difficulties, do correction."
ham,Howz pain?hope u r fine..
ham,"Sorry, I'll call later"
ham,Good morning princess! How are you?
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
ham,U wake up already? Thanx 4 e tau sar piah it's quite nice.
ham,K do I need a login or anything
spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
ham,LOL ... No just was busy
ham,What * u wearing?
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,Oh:)as usual vijay film or its different?
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,Have you had a good day? Mine was really busy are you up to much tomorrow night?
ham,And is there a way you can send shade's stuff to her. And she has been wonderful too.
ham,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
spam,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
ham,Babe ? I lost you ... :-(
ham,Ok... Help me ask if she's working tmr a not?
ham,I'm not driving... Raining! Then i'll get caught at e mrt station lor.
ham,Not a drop in the tank
ham,(That said can you text him one more time?)
ham,"Sorry, I'll call later"
ham,Ok i go change also...
spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m)
ham,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.
ham,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up"
ham,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee
ham,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment
ham,Hey! There's veggie pizza... :/
ham,Yun buying... But school got offer 2000 plus only...
ham,You sure your neighbors didnt pick it up
ham,K. I will sent it again
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,Well. Im computerless. Time to make some oreo truffles
ham,"Haha yeah I see that now, be there in a sec"
ham,I am not having her number sir
ham,Lol now I'm after that hot air balloon!
ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
ham,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil
ham,"Yeah, we can probably swing by once my roommate finishes up with his girl"
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
ham,Happy new years melody!
ham,Ü dun need to pick ur gf?
ham,Yay! You better not have told that to 5 other girls either.
ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
ham,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q?"
ham,Just nw i came to hme da..
ham,"I'm outside islands, head towards hard rock and you'll run into me"
ham,To day class is there are no class.
ham,I'm in chennai velachery:)
ham,You flippin your shit yet?
ham,"K give me a sec, breaking a  &lt;#&gt;  at cstore"
ham,Am i that much bad to avoid like this?
ham,"Yo, you around? Just got my car back"
ham,Annoying isn't it.
ham,"Goodmorning, Today i am late for  &lt;#&gt; min."
ham,There's no point hangin on to mr not right if he's not makin u happy
ham,All will come alive.better correct any good looking figure there itself..
ham,In that case I guess I'll see you at campus lodge
ham,We're done...
ham,Come to my home for one last time i wont do anything. Trust me.
ham,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.
spam,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 £3/wk 087016248
ham,Ok... C ya...
spam,You have 1 new voicemail. Please call 08719181503
ham,What he said is not the matter. My mind saying some other matter is there.
ham,He also knows about lunch menu only da. . I know
ham,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx"
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
ham,Otherwise had part time job na-tuition..
ham,I know she called me
ham,"Me also da, i feel yesterday night  wait til 2day night dear."
ham,Thanks for understanding. I've been trying to tell sura that.
spam,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3
ham,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.
spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr"
ham,I need you to be in my strong arms...
ham,Also maaaan are you missing out
ham,His bday real is in april .
ham,Guessin you ain't gonna be here before 9?
ham,Ok then i will come to ur home after half an hour
ham,"Yo, the game almost over? Want to go to walmart soon"
ham,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!"
ham,I'll text now! All creepy like so he won't think that we forgot
ham,"that would be good … I'll phone you tomo lunchtime, shall I, to organise something?"
spam,You have 1 new voicemail. Please call 08719181513.
ham,"Damn, can you make it tonight or do you want to just wait til tomorrow"
ham,K..k..i'm also fine:)when will you complete the course?
ham,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier."
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info
ham,Prakesh is there know.
ham,Teach me apps da. When you come to college.
ham,Rofl betta invest in some  anti aging products
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
ham,"sir, you will receive the account no another 1hr time. Sorry for the delay."
spam,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p
ham,So ü'll be submitting da project tmr rite?
spam,FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
ham,Jus ans me lar. U'll noe later.
ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.
ham,have got * few things to do. may be in * pub later.
ham,1's finish meeting call me.
ham,Lol ok. I'll snatch her purse too.
ham,Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,How much are we getting?
ham,Is ur paper in e morn or aft tmr?
ham,"Dear relieved of westonzoyland, all going to plan this end too!"
ham,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.
ham,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?
ham,"I want to show you the world, princess :) how about europe?"
ham,Nobody can decide where to eat and dad wants Chinese
ham,No shoot me. I'm in the docs waiting room. :/
ham,Now? I'm going out 4 dinner soon..
ham,Hello which the site to download songs its urgent pls
ham,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep!"
ham,Horrible gal. Me in sch doing some stuff. How come u got mc?
ham,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x"
ham,"I call you later, don't have network. If urgnt, sms me."
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
spam,Please CALL 08712402779 immediately as there is an urgent message waiting for you
ham,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour
ham,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...
ham,What your plan for pongal?
ham,Just wait till end of march when el nino gets himself. Oh.
ham,"Not yet chikku..going to room nw, i'm in bus.."
ham,Am also doing in cbe only. But have to pay.
ham,Honey boo I'm missing u.
ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us"
ham,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!"
spam,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)"
ham,Ok. No wahala. Just remember that a friend in need ...
ham,I will see in half an hour
ham,"Im in inperialmusic listening2the weirdest track ever byleafcutter john-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
ham,"Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx."
ham,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.
spam,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA
ham,"Tee hee. Off to lecture, cheery bye bye."
ham,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u.."
ham,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number
ham,Ok...
spam,network operator. The service is free. For T & C's visit 80488.biz
ham,Let me know how to contact you. I've you settled in a room. Lets know you are ok.
ham,Wot u up 2 u weirdo?
ham,Can do lor...
ham,Dont put your phone on silent mode ok
ham,Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..
ham,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
ham,Oh ho. Is this the first time u use these type of words
ham,Am I the only one who doesn't stalk profiles?
ham,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"
ham,Yes i thought so. Thanks.
ham,But if she.s drinkin i'm ok.
ham,"Just wondering, the others just took off"
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?"
ham,Happy new year to u too!
ham,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May"
ham,Eat jap done oso aft ur lect wat... Ü got lect at 12 rite...
ham,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?"
ham,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes
ham,Happy birthday... May all ur dreams come true...
ham,Aiyah u did ok already lar. E nydc at wheellock?
ham,TELL HER I SAID EAT SHIT.
ham,Sure! I am driving but will reach my destination soon.
ham,"K so am I, how much for an 8th? Fifty?"
ham,Your daily text from me – a favour this time
ham,Great to hear you are settling well. So what's happenin wit ola?
ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
ham,I tot u reach liao. He said t-shirt.
ham,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
ham,I cant pick the phone right now. Pls send a message
ham,Your right! I'll make the appointment right now.
ham,Designation is software developer and may be she get chennai:)
spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,I jokin oni lar.. Ü busy then i wun disturb ü.
ham,"Ok, be careful ! Don't text and drive !"
ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
ham,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.
ham,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie
ham,How abt making some of the pics bigger?
ham,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.
ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
ham,Why nothing. Ok anyway give me treat
spam,"Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
ham,Ok...
ham,Correct. So how was work today
ham,"Just sent again. Do you scream and moan in bed, princess?"
ham,"I wake up long ago already... Dunno, what other thing?"
ham,Oh just getting even with u.... u?
ham,I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?
ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
ham,Yeah jay's sort of a fucking retard
ham,"Sorry, was in the bathroom, sup"
spam,Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!
ham,My exam is for february 4. Wish you a great day.
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.
ham,"Aight no rush, I'll ask jay"
ham,Good Morning plz call me sir
ham,It's ok lar. U sleep early too... Nite...
ham,"Oh... Icic... K lor, den meet other day..."
ham,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*"
ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
